CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41086967,IL SOLE,MANHATTAN,229233,DYCKMAN STREET,10034,2125440406,Italian,09/15/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,21,,,06/18/2018,Cycle Inspection / Initial Inspection
50058073,AL HORNO LEAN MEXICAN KITCHEN,MANHATTAN,57,1ST AVE,10003,6466093762,Mexican,02/23/2017,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,32,,,06/18/2018,Pre-permit (Operational) / Initial Inspection
41593540,DRAFT BARN,BROOKLYN,28,DOOLEY STREET,11235,7186762727,American,10/22/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17,,,06/18/2018,Cycle Inspection / Initial Inspection
40868904,MCDONALD'S,BRONX,875,GARRISON AVENUE,10474,7186170329,Hamburgers,07/17/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,07/17/2015,06/18/2018,Cycle Inspection / Re-inspection
41491151,TINY'S GIANT SANDWICH SHOP,MANHATTAN,129,RIVINGTON STREET,10002,2122284919,Sandwiches,03/21/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,03/21/2017,06/18/2018,Cycle Inspection / Re-inspection
50001764,TASTY DELICIOUS WEST INDIAN BAKERY & RESTAURANT,BROOKLYN,9006,AVENUE A,11236,7186760144,Caribbean,04/27/2015,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,06/18/2018,Administrative Miscellaneous / Initial Inspection
50003130,ZHOU'S YUMMY RESTAURANT,QUEENS,4117,UNION STREET,11355,3477324081,Chinese,06/04/2016,Violations were cited in the following area(s).,15I,''''No Smoking and/or 'Smoking Permitted sign not conspicuously posted. Health warning not present on 'Smoking Permitted,Not Critical,,,,06/18/2018,Smoke-Free Air Act / Initial Inspection
50069571,OATMEALS,MANHATTAN,120,W 3RD ST,10012,9175741887,American,06/06/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,,,06/18/2018,Cycle Inspection / Initial Inspection
41543996,VAN NEST LANES SNACK BAR,BRONX,1756,BRONXDALE AVENUE,10462,7187922220,American,09/03/2014,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
40694122,TRACKSIDE,QUEENS,11446,ROCKAWAY BOULEVARD,11420,7188459610,American,05/17/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19,,,06/18/2018,Cycle Inspection / Initial Inspection
41711530,GALLAGHER'S,MANHATTAN,228,WEST   52 STREET,10019,2122455336,American,09/07/2017,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,20,,,06/18/2018,Cycle Inspection / Initial Inspection
41273461,WATEREDGE CAFE,STATEN ISLAND,1,RICHMOND TERRACE,10301,7182739233,American,05/04/2018,Establishment re-opened by DOHMH,,,Not Applicable,0,Z,05/04/2018,06/18/2018,Cycle Inspection / Reopening Inspection
41359592,THAILAND RESTAURANT,MANHATTAN,856,10 AVENUE,10019,2129578818,Thai,05/03/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,05/03/2017,06/18/2018,Cycle Inspection / Re-inspection
50073779,THE BAGEL SHOPPE,STATEN ISLAND,1938,CLOVE RD,10304,9292697777,Caf?©/Coffee/Tea,03/21/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,,,06/18/2018,Pre-permit (Operational) / Initial Inspection
50066563,Roni Lira Brothers Pizza,QUEENS,4444,COLLEGE POINT BLVD,11355,3476100497,American,11/08/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,11/08/2017,06/18/2018,Pre-permit (Operational) / Re-inspection
50054471,NEW YORK KOSHARY,BROOKLYN,518,86TH ST,11209,7182387800,Egyptian,04/10/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,04/10/2018,06/18/2018,Cycle Inspection / Initial Inspection
41130552,LA BOHEME LOUNGE,BROOKLYN,1790,STILLWELL AVENUE,11223,7182652245,Mediterranean,01/31/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,01/31/2018,06/18/2018,Cycle Inspection / Initial Inspection
50043399,KONEKO,MANHATTAN,26,CLINTON ST,10002,6463705699,Caf?©/Coffee/Tea,04/05/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,12,A,04/05/2017,06/18/2018,Cycle Inspection / Initial Inspection
41070633,APPLEBEE'S,QUEENS,9015,QUEENS BOULEVARD,11373,7182717999,American,06/12/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,06/12/2017,06/18/2018,Cycle Inspection / Initial Inspection
40364439,SEVILLA RESTAURANT,MANHATTAN,62,CHARLES STREET,10014,2129293189,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04/21/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,12,,,06/18/2018,Cycle Inspection / Initial Inspection
50043778,CECI'S RESTAURANT,BROOKLYN,423,HEGEMAN AVE,11207,7188225550,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/18/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,20,,,06/18/2018,Pre-permit (Operational) / Initial Inspection
41694278,BURGER KING,BROOKLYN,8002,FOSTER AVENUE,11236,7184446825,Hamburgers,08/10/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,08/10/2017,06/18/2018,Cycle Inspection / Initial Inspection
50017416,DUNKIN' DONUTS,BRONX,1111,E TREMONT AVE,10460,7188281188,Donuts,10/24/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,10/24/2017,06/18/2018,Cycle Inspection / Initial Inspection
40687217,MICHELLE'S COCKTAIL LOUNGE,BROOKLYN,2294,BEDFORD AVENUE,11226,7182841185,Caribbean,05/30/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,,,06/18/2018,Cycle Inspection / Initial Inspection
50057601,ZOE DELEU CATERING,BROOKLYN,630,FLUSHING AVE,11206,3472601904,Continental,12/12/2016,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,7,,,06/18/2018,Pre-permit (Non-operational) / Initial Inspection
50067557,PRIVATE PARTY,BROOKLYN,291,HOOPER ST,11211,7186901497,Other,01/01/1900,,,,Not Applicable,,,,06/18/2018,
40374266,KASTELI II,MANHATTAN,372,8 AVENUE,10001,2122390090,Irish,05/29/2018,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,06/18/2018,Administrative Miscellaneous / Re-inspection
50074790,,BROOKLYN,7215,3RD AVE,11209,7182388100,Other,01/01/1900,,,,Not Applicable,,,,06/18/2018,
41710320,M&J HONG KONG STYLE,QUEENS,6010,KISSENA BOULEVARD,11355,7189398286,Chinese,10/21/2017,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,24,,,06/18/2018,Cycle Inspection / Initial Inspection
50066476,MERIT KABAB,QUEENS,3767,74TH ST,11372,7183965827,Bangladeshi,04/05/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,04/05/2018,06/18/2018,Cycle Inspection / Re-inspection
40425023,PATE'S JEANTY,QUEENS,21909,HEMPSTEAD AVENUE,11429,7184680025,Bakery,05/07/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,,,06/18/2018,Cycle Inspection / Re-inspection
41696881,NUMERO 28 PIZZERIA,MANHATTAN,658660,AMSTERDAM AVENUE,10025,2127067282,Pizza/Italian,05/25/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35,,,06/18/2018,Cycle Inspection / Initial Inspection
41674018,SUBWAY,QUEENS,12702,MERRICK BOULEVARD,11434,7185257827,American,12/23/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,25,,,06/18/2018,Cycle Inspection / Initial Inspection
50038414,ETTO ESPRESSO BAR,QUEENS,4277,HUNTER ST,11101,7187864320,Caf?©/Coffee/Tea,09/25/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,09/25/2017,06/18/2018,Cycle Inspection / Initial Inspection
50041317,HELLO BROOKLYN,BROOKLYN,234,UNION AVE,11211,3479873008,American,09/16/2015,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,20,,,06/18/2018,Pre-permit (Non-operational) / Initial Inspection
41683961,BURGER URWAY,BROOKLYN,154,ADELPHI STREET,11205,3472940650,American,01/11/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11,A,01/11/2018,06/18/2018,Cycle Inspection / Initial Inspection
50059493,TILLY'S,BROOKLYN,1223,BEDFORD AVE,11216,3474251251,American,03/09/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,03/09/2017,06/18/2018,Pre-permit (Operational) / Initial Inspection
41676908,EL MEXICANO RESTAURANTE & CAFE,BROOKLYN,2102,EAST   15 STREET,11229,7186762700,Tex-Mex,05/25/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140?º F to 70?º F or less within 2 hours, and from 70?º F to 41?º F or less within 4 additional hours.",Critical,37,,,06/18/2018,Cycle Inspection / Initial Inspection
50071775,66S FUSION,BROOKLYN,130,FLUSHING AVE,11205,9179177032,Asian,02/26/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,27,,,06/18/2018,Pre-permit (Operational) / Initial Inspection
40989507,AMC THEATRES,BRONX,2210,BARTOW AVENUE,10475,7183201659,American,11/01/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45,,,06/18/2018,Cycle Inspection / Initial Inspection
41336510,G & L Cajun Grill,QUEENS,9040,160 STREET,11432,9176052812,Cajun,07/13/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,07/13/2017,06/18/2018,Cycle Inspection / Initial Inspection
41163307,TAQUERIA SAN PEDRO,MANHATTAN,3662,BROADWAY,10031,2124912644,Mexican,06/28/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,43,,,06/18/2018,Cycle Inspection / Initial Inspection
41487544,NANOOSH,MANHATTAN,173,MADISON AVENUE,10016,2124474345,Mediterranean,07/20/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140?º F to 70?º F or less within 2 hours, and from 70?º F to 41?º F or less within 4 additional hours.",Critical,21,,,06/18/2018,Cycle Inspection / Initial Inspection
50036141,MY BAKERY NY,BROOKLYN,5902,7TH AVE,11220,7184365318,Bakery,12/14/2015,Violations were cited in the following area(s).,22F,,Not Applicable,22,,,06/18/2018,Cycle Inspection / Initial Inspection
41334633,SHI,QUEENS,4720,CENTER BOULEVARD,11109,3472422448,Chinese,06/04/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,06/04/2015,06/18/2018,Cycle Inspection / Re-inspection
50043694,DAR 525,BROOKLYN,168,DRIGGS AVE,11222,7183890003,Mediterranean,05/15/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,05/15/2018,06/18/2018,Cycle Inspection / Re-inspection
50058336,THE MASPETH PIZZA HOUSE,QUEENS,5560,60TH ST,11378,7183261222,Italian,03/30/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,03/30/2017,06/18/2018,Pre-permit (Operational) / Re-inspection
41331953,RANDALLS ISLAND GOLF CENTER,MANHATTAN,1,RANDALLS ISLAND,10035,2124275689,American,06/02/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
41459867,SUSHI WEST,MANHATTAN,556,HUDSON STREET,10014,2123371023,Japanese,07/15/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,B,07/15/2015,06/18/2018,Cycle Inspection / Re-inspection
41010148,NEW LANE PIZZERIA,QUEENS,7519,JAMAICA AVENUE,11421,7182965263,Pizza/Italian,01/07/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,01/07/2016,06/18/2018,Cycle Inspection / Re-inspection
41450073,BIG FLEISHIG'S EXPRESS,BROOKLYN,5508,16 AVENUE,11204,7184352779,Jewish/Kosher,02/22/2017,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,02/22/2017,06/18/2018,Cycle Inspection / Initial Inspection
